Year,Team,League,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,W,L,ERA,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT,DER,Result
2005,Boston Red Sox,0,5626,910,1579,339,21,199,863,653,1044,45,12,0.281,0.357,0.454,0.811,95,67,4.74,162,38,57,1429,1550,805,752,164,440,959,0.276,1.39,1458,12861,6019,4287,1623,109,135,87,29,0.75,13,56,0.982,0.684,-1
2005,Chicago Cubs,1,5584,703,1506,323,23,194,674,419,920,65,39,0.27,0.324,0.44,0.764,79,83,4.19,162,39,58,1440,1357,714,671,186,576,1256,0.25,1.34,1458,12960,6079,4320,1658,101,136,90,40,0.692,6,57,0.983,0.699,-1
2005,Chicago White Sox,0,5529,741,1450,253,23,200,713,435,1002,137,67,0.262,0.322,0.425,0.747,99,63,3.61,162,54,73,1475.2,1392,645,592,167,459,1040,0.249,1.25,1458,13281,6191,4427,1670,94,166,103,25,0.805,9,65,0.985,0.712,-1
2005,Cleveland Indians,0,5609,790,1522,337,30,207,760,503,1093,62,36,0.271,0.334,0.453,0.787,93,69,3.61,162,51,66,1452.2,1363,642,582,157,413,1050,0.247,1.22,1458,13074,6110,4358,1646,106,156,103,33,0.757,6,26,0.983,0.709,-1
2005,Colorado Rockies,1,5542,740,1477,280,34,150,704,509,1103,65,32,0.267,0.333,0.411,0.744,67,95,5.13,162,37,63,1418.2,1600,862,808,175,604,981,0.287,1.55,1458,12768,6080,4256,1706,118,158,102,37,0.734,14,65,0.981,0.671,1
2005,Detroit Tigers,0,5602,723,1521,283,45,168,678,384,1038,66,28,0.272,0.321,0.428,0.75,71,91,4.51,162,37,57,1435.2,1504,787,719,193,461,907,0.272,1.37,1458,12921,6208,4307,1791,110,171,60,49,0.55,4,53,0.982,0.697,-1
2005,Florida Marlins,1,5502,717,1499,306,32,128,678,512,918,96,38,0.272,0.339,0.409,0.748,83,79,4.16,162,42,60,1442.1,1459,732,666,116,563,1125,0.266,1.4,1458,12981,6089,4327,1659,103,177,118,38,0.756,9,45,0.983,0.68,-1
2005,Kansas City Royals,0,5503,701,1445,289,34,126,653,424,1008,53,33,0.263,0.32,0.396,0.716,56,106,5.49,162,25,43,1413.1,1640,935,862,178,580,924,0.291,1.57,1458,12720,6011,4240,1646,125,163,70,44,0.614,5,69,0.979,0.666,-1
2005,Los Angeles Angels,0,5624,761,1520,278,30,147,726,447,848,161,57,0.27,0.325,0.409,0.734,95,67,3.68,162,54,71,1464.1,1419,643,598,158,443,1126,0.254,1.27,1458,13179,6001,4393,1521,87,139,68,42,0.618,13,70,0.986,0.701,-1
2005,Los Angeles Dodgers,1,5433,685,1374,284,21,149,653,541,1094,58,35,0.253,0.326,0.395,0.721,71,91,4.38,162,40,59,1427.1,1434,755,695,182,471,1004,0.263,1.33,1458,12846,6115,4282,1727,106,141,130,34,0.793,9,36,0.983,0.7,1
2005,Milwaukee Brewers,1,5448,726,1413,327,19,175,689,531,1162,79,34,0.259,0.331,0.423,0.754,81,81,3.97,162,46,67,1438,1382,697,635,169,569,1173,0.251,1.36,1458,12942,5915,4314,1482,119,139,86,34,0.717,8,66,0.98,0.696,-1
2005,Minnesota Twins,0,5564,688,1441,269,32,134,644,485,978,102,44,0.259,0.323,0.391,0.714,83,79,3.71,162,44,60,1464.1,1458,662,604,169,348,965,0.261,1.23,1458,13179,6259,4393,1764,102,171,44,36,0.55,9,35,0.984,0.702,1
2005,New York Mets,1,5505,722,1421,279,32,175,683,486,1075,153,40,0.258,0.322,0.416,0.738,83,79,3.76,162,38,59,1435.2,1390,648,599,135,491,1012,0.255,1.31,1458,12921,6070,4307,1657,106,146,107,25,0.811,5,32,0.983,0.7,1
2005,New York Yankees,0,5624,886,1552,259,16,229,847,637,989,84,27,0.276,0.355,0.45,0.805,95,67,4.52,162,46,67,1430.2,1495,789,718,164,463,985,0.269,1.37,1458,12876,6075,4292,1688,95,151,125,50,0.714,11,37,0.984,0.688,1
2005,Oakland Athletics,0,5627,772,1476,310,20,155,739,537,819,31,22,0.262,0.33,0.407,0.737,88,74,3.69,162,38,56,1450.1,1315,658,594,154,504,1075,0.241,1.25,1458,13053,6088,4351,1649,88,166,109,25,0.813,5,41,0.986,0.715,1
2005,Philadelphia Phillies,1,5542,807,1494,282,35,167,760,639,1083,116,27,0.27,0.348,0.423,0.772,88,74,4.21,162,40,63,1435,1379,726,672,189,487,1159,0.253,1.3,1458,12915,6003,4305,1608,90,132,82,26,0.759,12,36,0.985,0.704,-1
2005,Pittsburgh Pirates,1,5573,680,1445,292,38,139,656,471,1092,73,30,0.259,0.322,0.4,0.723,67,95,4.42,162,35,47,1436,1456,769,706,162,612,958,0.267,1.44,1458,12924,6228,4308,1803,117,193,64,36,0.64,16,53,0.981,0.694,-1
2005,San Diego Padres,1,5502,684,1416,269,39,130,655,600,977,99,44,0.257,0.333,0.391,0.724,82,80,4.13,162,45,65,1455.1,1452,726,668,146,503,1133,0.259,1.34,1458,13098,6004,4366,1529,109,136,94,25,0.79,12,36,0.982,0.69,1
2005,San Francisco Giants,1,5462,649,1427,299,26,128,617,431,901,71,35,0.261,0.319,0.396,0.714,75,87,4.33,162,46,74,1444.1,1456,745,695,151,592,972,0.263,1.42,1458,12999,6053,4333,1630,90,146,78,54,0.591,5,38,0.985,0.699,-1
2005,Seattle Mariners,0,5507,699,1408,289,34,130,657,466,986,102,47,0.256,0.317,0.391,0.709,69,93,4.49,162,39,59,1427.2,1483,751,712,179,496,892,0.268,1.39,1458,12849,5944,4283,1575,86,144,89,43,0.674,14,36,0.986,0.701,-1
2005,St. Louis Cardinals,1,5538,805,1494,287,26,170,757,534,947,83,36,0.27,0.339,0.423,0.762,100,62,3.49,162,48,65,1445.2,1399,634,560,153,443,974,0.257,1.27,1458,13011,6388,4337,1951,100,196,32,33,0.492,12,41,0.984,0.702,-1
2005,Tampa Bay Devil Rays,0,5552,750,1519,289,40,157,717,412,990,151,49,0.274,0.329,0.425,0.754,67,95,5.39,162,43,69,1421.2,1570,936,851,194,615,949,0.28,1.54,1458,12795,5835,4265,1446,124,139,68,45,0.602,13,53,0.979,0.683,-1
2005,Texas Rangers,0,5716,865,1528,311,29,260,834,495,1112,67,15,0.267,0.329,0.468,0.798,79,83,4.96,162,46,68,1440,1589,858,794,159,522,932,0.279,1.47,1458,12960,6106,4320,1678,108,149,69,26,0.726,11,44,0.982,0.681,-1
2005,Toronto Blue Jays,0,5581,775,1480,307,39,136,735,486,955,72,35,0.265,0.331,0.407,0.738,80,82,4.06,162,35,56,1447,1475,705,653,185,444,958,0.264,1.33,1458,13023,6193,4341,1757,95,154,100,35,0.741,6,39,0.985,0.7,-1
2005,Washington Nationals,1,5426,639,1367,311,32,117,615,491,1090,45,45,0.252,0.322,0.386,0.708,81,81,3.87,162,51,69,1458,1456,673,627,140,539,997,0.262,1.3,1458,13122,6014,4374,1548,92,156,76,41,0.65,7,49,0.985,0.698,1
2004,Anaheim Angels,0,5675,836,1603,272,37,162,783,450,942,143,46,0.282,0.341,0.429,0.77,92,70,4.28,162,50,67,1454.1,1476,734,692,170,502,1164,0.263,1.36,1458,13089,5964,4363,1511,90,126,87,44,0.664,11,61,0.985,0.686,1
2004,Arizona Diamondbacks,1,5544,615,1401,295,38,135,582,441,1022,53,32,0.253,0.31,0.393,0.703,51,111,4.98,162,33,55,1436,1480,899,794,197,668,1153,0.266,1.5,1458,12924,6163,4308,1716,139,144,97,50,0.66,18,71,0.977,0.681,-1
2004,Atlanta Braves,1,5570,803,1503,304,37,178,767,587,1158,86,32,0.27,0.343,0.434,0.777,96,66,3.74,162,48,68,1450,1475,668,603,154,523,1025,0.265,1.38,1458,13050,6257,4350,1791,116,171,91,29,0.758,10,36,0.981,0.688,1
2004,Baltimore Orioles,0,5736,842,1614,319,18,169,803,528,949,101,41,0.281,0.345,0.432,0.776,78,84,4.7,162,27,47,1455.1,1488,830,760,159,687,1090,0.264,1.49,1458,13098,6159,4366,1683,110,161,82,39,0.678,15,68,0.982,0.685,-1
2004,Boston Red Sox,0,5720,949,1613,373,25,222,912,659,1189,68,30,0.282,0.36,0.472,0.832,98,64,4.18,162,36,49,1451.1,1430,768,674,159,447,1132,0.255,1.29,1458,13062,6122,4354,1650,118,129,123,31,0.799,21,39,0.981,0.692,1
